date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,2.9,1.5,3.8,,,177,10.6,29.6,1005.7,
2021-01-02,1.2,-0.4,2.6,,,17,7.5,20.4,1014.1,
2021-01-03,1.9,-0.4,3.2,,,46,23.5,42.6,1023.2,
2021-01-04,0.7,-0.3,1.6,,,36,29,42.6,1024.8,
2021-01-05,1.8,1,2.3,,,35,27.5,40.8,1023.7,
2021-01-06,1.5,0.4,2.2,,,25,30.1,46.3,1015,
2021-01-07,1.4,0.6,2.1,,,33,20.5,35.2,1010,
2021-01-08,1.7,0.8,2.5,,,21,17.7,29.6,1011.9,
2021-01-09,1.7,0.2,2.5,,,6,13.5,31.5,1020.6,
2021-01-10,1.2,0.4,2.2,,,230,17.5,40.8,1019,
2021-01-11,3.4,1.4,4.6,,,216,27.2,51.8,1007.9,
2021-01-12,1.9,-1,4.6,,,253,19.4,50,997.4,
2021-01-13,1.8,1.3,2.4,,,272,25.4,66.7,999,
2021-01-14,0.8,-1.2,2.1,,,9,28.2,61.1,1018.2,
2021-01-15,-2.8,-4.3,-0.8,,,13,19.7,35.2,1025.5,
2021-01-16,-3.4,-6.9,0,,,327,11.8,25.9,1022.8,
2021-01-17,-1.8,-3.4,0.7,,,269,5.9,16.7,1019.9,
2021-01-18,0.7,-2.2,2.3,,,200,15.5,35.2,1015.3,
2021-01-19,2.6,1.8,3.5,,,200,15.1,33.3,1003.9,
2021-01-20,5.2,3.6,5.9,,,191,19.6,38.9,995.5,
2021-01-21,5.6,4.6,7.1,,,185,31.4,51.8,989.5,
2021-01-22,4.8,3.4,6.4,,,203,34.7,51.8,985.3,
2021-01-23,2.8,1.6,4.1,,,195,13.9,46.3,995.3,
2021-01-24,2.1,-0.7,3.9,,,197,5.9,20.4,996.3,
2021-01-25,1.2,0.1,2,,,250,9.9,24.1,999.8,
2021-01-26,0.5,-2.1,2.2,,,293,12.2,33.3,1008.9,
2021-01-27,0.7,-3.5,2.2,,,227,13,27.8,1009.2,
2021-01-28,-0.7,-3.1,1,,,313,20.7,42.6,1003,
2021-01-29,-2.8,-5,-0.5,,,16,14.4,29.6,1001.2,
2021-01-30,-1.6,-6.1,0,,,297,14.4,29.6,1002.8,
2021-01-31,0.3,-3.1,2.2,,,255,14.9,33.3,1001,
2021-02-01,0.4,-3.9,2.1,,,164,13,29.6,1001.5,
2021-02-02,-0.6,-2.2,1.4,,,298,8.2,24.1,1001.5,
2021-02-03,-1.3,-2,0,,,60,25.2,51.8,1004.4,
2021-02-04,-3.2,-4.4,-1.9,,,40,20.6,48.2,1016.1,
2021-02-05,-4.5,-5.4,-3.7,,,72,20.4,38.9,1024.3,
2021-02-06,-4.9,-6.2,-3.6,,,58,26.5,40.8,1026.3,
2021-02-07,-4.1,-5.7,-2.1,,,56,32.2,48.2,1021.9,
2021-02-08,-3,-3.9,-1.7,,,53,35.4,55.5,1014.3,
2021-02-09,-3.1,-4.4,-1.8,,,33,36.4,51.8,1011.2,
2021-02-10,-3.7,-5,-2,,,30,30.3,44.5,1015.3,
2021-02-11,-5,-6,-3,,,22,22.3,37,1029.5,
2021-02-12,-4.5,-7.1,-1,,,0,17.6,31.5,1037.8,
2021-02-13,-3.3,-9,1.6,,,330,12.3,25.9,1040.4,
2021-02-14,-3.9,-9.1,2.1,,,257,10.1,24.1,1039.9,
2021-02-15,-0.9,-4.9,1.1,,,163,21.3,44.5,1030.2,
2021-02-16,0,-0.5,0.7,,,144,16.2,38.9,1017.3,
2021-02-17,1.1,0.8,1.4,,,94,14.5,40.8,1011.4,
2021-02-18,1.6,1.1,2.3,,,123,23.7,44.5,1016.3,
2021-02-19,3.2,1,6,,,211,17.7,44.5,1012.3,
2021-02-20,3.3,2,4.1,,,163,17.2,29.6,1016.9,
2021-02-21,4.2,2,7,,,155,13.5,31.5,1016.3,
2021-02-22,3.6,-0.2,5.8,,,141,10.9,27.8,1019.9,
2021-02-23,6.3,3.2,9.6,,,208,11.2,27.8,1026.8,
2021-02-24,8.5,4.1,13.2,,,212,18.5,37,1026.2,
2021-02-25,8.7,5,13.6,,,224,18.3,35.2,1022.6,
2021-02-26,5.7,2.1,8.8,,,273,26.7,51.8,1025.3,
2021-02-27,4.3,1.4,9.1,,,280,13.6,29.6,1034.1,
2021-02-28,4.9,0,7.8,,,287,12.5,27.8,1034.3,
2021-03-01,2.9,-1.5,8.7,,,253,11.3,29.6,1033.9,
2021-03-02,2.3,0.3,3.6,,,291,9.3,24.1,1033.7,
2021-03-03,0.4,-0.8,1.8,,,214,6.6,22.2,1025.8,
2021-03-04,2.7,0.8,4.8,,,337,17.3,37,1018.4,
2021-03-05,1.1,-2.8,5.9,,,303,13.8,35.2,1025.5,
2021-03-06,1.8,-4,6.2,,,261,24.4,55.5,1025.2,
2021-03-07,3.6,-0.4,5.9,,,304,27.9,55.5,1016.8,
2021-03-08,0.3,-3.4,3.1,,,355,8.7,27.8,1023,
2021-03-09,0.3,-4.1,3.8,,,203,9.2,25.9,1021,
2021-03-10,0.8,-3.6,3.5,,,150,17.5,50,1018.3,
2021-03-11,3.8,1.4,6.1,,,180,38.2,59.3,992.4,
2021-03-12,5.2,3.1,6.7,,,232,28.8,53.7,993.7,
2021-03-13,3.5,0.9,5.3,,,193,22.2,37,989.7,
2021-03-14,4.5,1.9,7.9,,,285,19.5,37,995.6,
2021-03-15,4.7,3.4,6.3,,,243,18.6,38.9,1002.5,
2021-03-16,3.1,0.4,6.6,,,353,13.3,37,1016.1,
2021-03-17,3.4,-1,7.8,,,332,7.4,24.1,1022.9,
2021-03-18,2.4,-3.2,5.4,,,332,13.1,35.2,1021.8,
2021-03-19,1.4,-0.5,3.2,,,19,17.6,35.2,1026.4,
2021-03-20,2.4,-2.4,5.6,,,250,19.8,40.8,1021.1,
2021-03-21,5.8,2.3,8.4,,,321,24.4,46.3,1012,
2021-03-22,5.2,-0.3,9,,,288,14.6,31.5,1017.9,
2021-03-23,6.1,5.3,7.1,,,263,15.1,29.6,1020.3,
2021-03-24,7.6,5.1,10.6,,,230,18.1,35.2,1019.3,
2021-03-25,7.5,3.9,12,,,223,15.2,31.5,1018,
2021-03-26,7.6,4.9,10.8,,,176,17.1,35.2,1016.6,
2021-03-27,6.1,3.4,8.4,,,217,21.5,42.6,1011.5,
2021-03-28,,,,,,,,,,
2021-03-29,8.7,7.4,10,,,235,27.7,42.6,1020.6,
2021-03-30,11.3,6.4,17.3,,,229,19.5,37,1025.6,
2021-03-31,8.6,2,15.6,,,224,11,29.6,1022.1,
2021-04-01,6.7,2.7,8.9,,,313,11.5,31.5,1019.1,
2021-04-02,5.3,0,9.5,,,299,16.9,37,1018.6,
2021-04-03,5.2,3,7.1,,,348,22.8,40.8,1022.8,
2021-04-04,4.4,-0.8,8.9,,,245,22.4,51.8,1015.2,
2021-04-05,3.7,-0.4,6.3,,,279,31.4,64.8,993.6,
2021-04-06,3.3,1.1,6.4,,,265,21.7,46.3,997.2,
2021-04-07,4.2,0.1,8.9,,,269,18.1,40.8,1002.4,
2021-04-08,4.6,2.5,7.2,,,268,24.6,46.3,1012.4,
2021-04-09,5.9,3,9.6,,,229,32.7,57.4,1007.6,
2021-04-10,4.6,1.2,8.6,,,244,16.2,33.3,1014.3,
2021-04-11,4.7,1,7.7,,,117,18.2,40.8,1012.2,
2021-04-12,5.2,3.2,9.1,,,253,23.3,42.6,1018,
2021-04-13,5.2,3,8.7,,,257,19.8,38.9,1023,
2021-04-14,4.4,-2.6,8.7,,,326,14.4,33.3,1027.7,
2021-04-15,6.7,2.7,10.5,,,0,15.6,35.2,1030.2,
2021-04-16,7.1,3.2,11.5,,,0,18.7,37,1028.2,
2021-04-17,9,6.5,14.5,,,348,14.9,33.3,1025.1,
2021-04-18,9.2,5.2,15.1,,,4,10.5,25.9,1024.2,
2021-04-19,10.3,5.6,16.6,,,357,9.2,24.1,1023.4,
2021-04-20,10.7,7,16.5,,,2,12.7,24.1,1018.2,
2021-04-21,7.8,3.3,10.8,,,276,24.1,63,1011.3,
2021-04-22,7.4,3.7,9.8,,,306,28.2,66.7,1013.7,
2021-04-23,7.4,4.1,10,,,307,20.3,44.5,1021.7,
2021-04-24,6.3,3,9.5,,,325,18.8,48.2,1024.1,
2021-04-25,5.2,2.3,8,,,332,19.8,44.5,1024.3,
2021-04-26,5.2,2,8.5,,,330,12.1,29.6,1021.7,
2021-04-27,5.4,-0.7,10.2,,,225,7.7,25.9,1017.5,
2021-04-28,7.5,3,10.9,,,118,9.9,27.8,1012.8,
2021-04-29,7.7,5.6,11.3,,,47,19.9,40.8,1006.7,
2021-04-30,7.9,5.5,12.2,,,30,17.1,40.8,1011.7,
2021-05-01,7.9,4.2,10.4,,,148,12.3,29.6,1016.2,
2021-05-02,8.1,4.4,12.2,,,106,12.9,27.8,1013.9,
2021-05-03,7,4,9.8,,,218,11.8,33.3,1012.7,
2021-05-04,7.4,5.9,9.1,,,164,25.4,51.8,997.6,
2021-05-05,7.2,6.1,8.2,,,221,27.5,48.2,988.2,
2021-05-06,6.5,4.1,9,,,262,23.2,51.8,998.3,
